filename,visibility_m,scene_id,source_dataset,beta,clear_image,depth_map
images/frida_scene000001_v0050.png,50.0,000001,frida,0.07824046010856292,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000001_v0080.png,80.0,000001,frida,0.04890028756785182,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000001_v0100.png,100.0,000001,frida,0.03912023005428146,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000001_v0150.png,150.0,000001,frida,0.026080153369520975,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000001_v0200.png,200.0,000001,frida,0.01956011502714073,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000001_v0300.png,300.0,000001,frida,0.013040076684760487,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000001_v0500.png,500.0,000001,frida,0.007824046010856293,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000001_v0800.png,800.0,000001,frida,0.0048900287567851825,LIma-000001.png,Dmap-000001.fdd
images/frida_scene000002_v0050.png,50.0,000002,frida,0.07824046010856292,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000002_v0080.png,80.0,000002,frida,0.04890028756785182,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000002_v0100.png,100.0,000002,frida,0.03912023005428146,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000002_v0150.png,150.0,000002,frida,0.026080153369520975,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000002_v0200.png,200.0,000002,frida,0.01956011502714073,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000002_v0300.png,300.0,000002,frida,0.013040076684760487,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000002_v0500.png,500.0,000002,frida,0.007824046010856293,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000002_v0800.png,800.0,000002,frida,0.0048900287567851825,LIma-000002.png,Dmap-000002.fdd
images/frida_scene000003_v0050.png,50.0,000003,frida,0.07824046010856292,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000003_v0080.png,80.0,000003,frida,0.04890028756785182,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000003_v0100.png,100.0,000003,frida,0.03912023005428146,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000003_v0150.png,150.0,000003,frida,0.026080153369520975,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000003_v0200.png,200.0,000003,frida,0.01956011502714073,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000003_v0300.png,300.0,000003,frida,0.013040076684760487,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000003_v0500.png,500.0,000003,frida,0.007824046010856293,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000003_v0800.png,800.0,000003,frida,0.0048900287567851825,LIma-000003.png,Dmap-000003.fdd
images/frida_scene000004_v0050.png,50.0,000004,frida,0.07824046010856292,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000004_v0080.png,80.0,000004,frida,0.04890028756785182,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000004_v0100.png,100.0,000004,frida,0.03912023005428146,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000004_v0150.png,150.0,000004,frida,0.026080153369520975,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000004_v0200.png,200.0,000004,frida,0.01956011502714073,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000004_v0300.png,300.0,000004,frida,0.013040076684760487,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000004_v0500.png,500.0,000004,frida,0.007824046010856293,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000004_v0800.png,800.0,000004,frida,0.0048900287567851825,LIma-000004.png,Dmap-000004.fdd
images/frida_scene000005_v0050.png,50.0,000005,frida,0.07824046010856292,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000005_v0080.png,80.0,000005,frida,0.04890028756785182,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000005_v0100.png,100.0,000005,frida,0.03912023005428146,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000005_v0150.png,150.0,000005,frida,0.026080153369520975,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000005_v0200.png,200.0,000005,frida,0.01956011502714073,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000005_v0300.png,300.0,000005,frida,0.013040076684760487,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000005_v0500.png,500.0,000005,frida,0.007824046010856293,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000005_v0800.png,800.0,000005,frida,0.0048900287567851825,LIma-000005.png,Dmap-000005.fdd
images/frida_scene000006_v0050.png,50.0,000006,frida,0.07824046010856292,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000006_v0080.png,80.0,000006,frida,0.04890028756785182,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000006_v0100.png,100.0,000006,frida,0.03912023005428146,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000006_v0150.png,150.0,000006,frida,0.026080153369520975,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000006_v0200.png,200.0,000006,frida,0.01956011502714073,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000006_v0300.png,300.0,000006,frida,0.013040076684760487,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000006_v0500.png,500.0,000006,frida,0.007824046010856293,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000006_v0800.png,800.0,000006,frida,0.0048900287567851825,LIma-000006.png,Dmap-000006.fdd
images/frida_scene000007_v0050.png,50.0,000007,frida,0.07824046010856292,LIma-000007.png,Dmap-000007.fdd
images/frida_scene000007_v0080.png,80.0,000007,frida,0.04890028756785182,LIma-000007.png,Dmap-000007.fdd
images/frida_scene000007_v0100.png,100.0,000007,frida,0.03912023005428146,LIma-000007.png,Dmap-000007.fdd
images/frida_scene000007_v0150.png,150.0,000007,frida,0.026080153369520975,LIma-000007.png,Dmap-000007.fdd
images/frida_scene000007_v0200.png,200.0,000007,frida,0.01956011502714073,LIma-000007.png,Dmap-000007.fdd
images/frida_scene000007_v0300.png,300.0,000007,frida,0.013040076684760487,LIma-000007.png,Dmap-000007.fdd
images/frida_scene000007_v0500.png,500.0,000007,frida,0.007824046010856293,LIma-000007.png,Dmap-000007.fdd
